DATE,CONTAMINES,DECES,GUERIS
2020-01-03,0.0,0.0,0.0
2020-01-04,0.0,0.0,0.0
2020-01-05,3.0,0.0,0.0
2020-01-06,10.0,0.0,0.0
2020-01-07,17.0,0.0,0.0
2020-01-08,14.0,0.0,0.0
2020-01-09,18.0,0.0,0.0
2020-01-10,13.0,0.0,0.0
2020-01-11,10.0,0.0,0.0
2020-01-12,12.0,0.0,0.0
2020-02-03,0.0,0.0,0.0
2020-02-04,0.0,0.0,0.0
2020-02-05,4.0,0.0,0.0
2020-02-06,20.0,0.0,0.0
2020-02-07,33.0,0.0,0.0
2020-02-08,12.0,0.0,0.0
2020-02-09,45.0,0.0,0.0
2020-02-10,23.0,0.0,0.0
2020-02-11,5.0,0.0,0.0
2020-02-12,37.0,0.0,0.0
2020-02-28,1.0,0.0,0.0
2020-02-29,0.0,0.0,0.0
2020-03-03,1.0,0.0,0.0
2020-03-04,7.0,0.0,0.0
2020-03-05,5.0,0.0,0.0
2020-03-06,16.0,0.0,0.0
2020-03-07,29.0,0.0,0.0
2020-03-08,6.0,0.0,0.0
2020-03-09,41.0,0.0,0.0
2020-03-10,10.0,0.0,0.0
2020-03-11,3.0,0.0,0.0
2020-03-12,26.0,0.0,0.0
2020-03-13,11.0,0.0,0.0
2020-03-14,3.0,0.0,0.0
2020-03-15,2.0,0.0,0.0
2020-03-16,1.0,0.0,0.0
2020-03-17,1.0,0.0,0.0
2020-03-18,1.0,0.0,0.0
2020-03-19,0.0,0.0,3.0
2020-03-20,0.0,0.0,0.0
2020-03-21,1.0,0.0,0.0
2020-03-22,0.0,0.0,0.0
2020-03-23,0.0,0.0,1.0
2020-03-24,0.0,0.0,0.0
2020-03-25,0.0,0.0,1.0
2020-03-26,0.0,0.0,0.0
2020-03-27,0.0,0.0,2.0
2020-03-28,0.0,0.0,0.0
2020-03-29,0.0,0.0,0.0
2020-03-30,0.0,0.0,0.0
2020-03-31,0.0,1.0,0.0
2020-04-03,2.0,0.0,0.0
2020-04-04,0.0,0.0,0.0
2020-04-05,3.0,1.0,0.0
2020-04-06,15.0,0.0,0.0
2020-04-07,22.0,0.0,0.0
2020-04-08,27.0,0.0,0.0
2020-04-09,24.0,0.0,0.0
2020-04-10,17.0,0.0,0.0
2020-04-11,5.0,0.0,0.0
2020-04-12,47.0,0.0,0.0
2020-04-13,0.0,0.0,0.0
2020-04-14,1.0,0.0,0.0
2020-04-15,0.0,0.0,0.0
2020-04-16,0.0,0.0,0.0
2020-04-17,0.0,1.0,0.0
2020-04-18,5.0,0.0,0.0
2020-04-19,2.0,1.0,0.0
2020-04-20,5.0,1.0,0.0
2020-04-21,1.0,1.0,0.0
2020-04-22,4.0,0.0,0.0
2020-04-23,8.0,0.0,0.0
2020-04-24,5.0,1.0,0.0
2020-04-25,6.0,1.0,0.0
2020-04-26,10.0,1.0,0.0
2020-04-27,14.0,0.0,0.0
2020-04-28,26.0,0.0,0.0
2020-04-29,8.0,0.0,0.0
2020-04-30,11.0,0.0,0.0
2020-05-03,0.0,0.0,0.0
2020-05-04,0.0,0.0,0.0
2020-05-05,4.0,1.0,0.0
2020-05-06,30.0,0.0,0.0
2020-05-07,34.0,0.0,0.0
2020-05-08,27.0,0.0,0.0
2020-05-09,40.0,0.0,0.0
2020-05-10,11.0,0.0,0.0
2020-05-11,8.0,0.0,0.0
2020-05-12,71.0,0.0,0.0
2020-05-13,8.0,3.0,0.0
2020-05-14,11.0,1.0,0.0
2020-05-15,2.0,2.0,0.0
2020-05-16,11.0,0.0,0.0
2020-05-17,4.0,0.0,0.0
2020-05-18,5.0,0.0,0.0
2020-05-19,5.0,2.0,0.0
2020-05-20,14.0,0.0,0.0
2020-05-21,6.0,3.0,0.0
2020-05-22,14.0,0.0,0.0
2020-05-23,18.0,0.0,0.0
2020-05-24,5.0,0.0,0.0
2020-05-25,4.0,0.0,0.0
2020-05-26,3.0,0.0,0.0
2020-05-27,12.0,0.0,0.0
2020-05-28,9.0,0.0,0.0
2020-05-29,13.0,0.0,0.0
2020-05-30,12.0,0.0,0.0
2020-05-31,12.0,0.0,0.0
2020-06-03,0.0,0.0,1.0
2020-06-04,0.0,0.0,0.0
2020-06-05,4.0,1.0,0.0
2020-06-06,0.0,0.0,0.0
2020-06-07,26.0,0.0,0.0
2020-06-08,18.0,0.0,0.0
2020-06-09,0.0,0.0,0.0
2020-06-10,16.0,0.0,0.0
2020-06-11,6.0,0.0,0.0
2020-06-12,46.0,0.0,0.0
2020-06-13,19.0,0.0,0.0
2020-06-14,14.0,0.0,0.0
2020-06-15,19.0,0.0,0.0
2020-06-16,10.0,0.0,0.0
2020-06-17,11.0,0.0,0.0
2020-06-18,13.0,0.0,0.0
2020-06-19,16.0,0.0,0.0
2020-06-20,20.0,0.0,0.0
2020-06-21,0.0,0.0,0.0
2020-06-22,13.0,0.0,0.0
2020-06-23,13.0,0.0,0.0
2020-06-24,15.0,0.0,0.0
2020-06-25,29.0,0.0,0.0
2020-06-26,27.0,0.0,0.0
2020-06-27,21.0,0.0,0.0
2020-06-28,23.0,0.0,0.0
2020-06-29,13.0,0.0,0.0
2020-06-30,11.0,0.0,0.0
2020-07-03,0.0,0.0,0.0
2020-07-04,0.0,0.0,0.0
2020-07-05,8.0,1.0,0.0
2020-07-06,11.0,0.0,0.0
2020-07-07,23.0,0.0,0.0
2020-07-08,82.0,0.0,0.0
2020-07-09,10.0,0.0,0.0
2020-07-10,23.0,0.0,0.0
2020-07-11,13.0,0.0,0.0
2020-07-12,45.0,0.0,0.0
2020-07-13,13.0,0.0,0.0
2020-07-14,10.0,0.0,0.0
2020-07-15,34.0,0.0,0.0
2020-07-16,28.0,0.0,0.0
2020-07-17,25.0,0.0,0.0
2020-07-18,49.0,0.0,0.0
2020-07-19,45.0,0.0,0.0
2020-07-20,41.0,0.0,0.0
2020-07-21,9.0,0.0,0.0
2020-07-22,35.0,0.0,0.0
2020-07-23,26.0,0.0,0.0
2020-07-24,34.0,0.0,0.0
2020-07-25,25.0,0.0,0.0
2020-07-26,13.0,0.0,0.0
2020-07-27,19.0,0.0,0.0
2020-07-28,8.0,0.0,0.0
2020-07-29,0.0,0.0,0.0
2020-07-30,29.0,0.0,0.0
2020-07-31,18.0,0.0,0.0
2020-08-03,0.0,0.0,0.0
2020-08-04,0.0,0.0,0.0
2020-08-05,7.0,1.0,0.0
2020-08-06,9.0,0.0,0.0
2020-08-07,23.0,0.0,0.0
2020-08-08,53.0,0.0,0.0
2020-08-09,11.0,0.0,0.0
2020-08-10,13.0,0.0,0.0
